[' 泰国'],['楚克·萨克瑞科'],['123'],[],"['Polnat Boonma', '雅琳达·邦恩纳克', 'Yarinda Bunnag', 'Apasiri Chantrasmi', '萨达农·杜隆卡沃', 'Pawat Jitsawangdee', '苏格拉瓦·卡那诺', 'Pantach Kankham', 'Darisa Karnpob', 'Jessada Kowiboonchai', 'Nattapong Kulsathid', 'Maytichai Nangwong', 'Chanakarn Niruttipaworn', 'Patchamon Park', '欧帕瓦·吉沙晚迪']",['譬如朝露 ดิว ไปด้วยกันนะ'],"['剧情', '爱情', '同性']",['6.3'],['4012'],[' 泰语']
[' 日本'],['月川翔'],['105'],['04'],"['菅田将晖', '土屋太凤', '古川雄辉', '山田裕贵', '池田依来沙', '滨边美波', '佐野岳', '佐野史郎', '速水直道']",['邻座的怪同学 となりの怪物くん'],"['剧情', '喜剧', '爱情']",['6.2'],['15206'],[' 日语']
[' 日本'],['三浦大辅'],['119'],['04'],"['松坂桃李', '真飞圣', '富手麻妙', '猪塚健太', '樱井由纪', '小柳友', '马渕英俚可', '荻野友里', '佐佐木心音', '大谷麻衣', '阶户瑠李', '西冈德马', '江波杏子']",['娼年'],"['爱情', '情色']",['5.8'],['13756'],[' 日语']
[' 中国大陆'],['彭宥纶'],['110'],[],"['白百何', '张子枫', '魏大勋', '许娣', '李建义', '吕星辰', '袁文康', '温升豪', '海一天', '刘畅', '吕聿来', '赵子琪', '吴昊宸', '白举纲', '赵天宇', '赵阳']",['亲爱的新年好'],"['剧情', '爱情']",['5.7'],['59161'],[' 汉语普通话']
[' 泰国'],['维塔亚·东俞扬'],['123'],['05'],"['桑尼·苏瓦美塔农', '尤拉萨雅·斯帕邦德', '尼查坤·抔勒威查固', '安楚义昂·布阿嘎育', '婵査勒姆·曼纳萨朋']",['把哥哥退货可以吗？ น้อง.พี่.ที่รัก'],"['喜剧', '爱情']",['5.3'],['6251'],[' 泰语 / 日语 / 英语']
[' 中国大陆'],['顾长卫'],['99'],['03'],"['白客', '蓝盈莹', '张海宇', '周楚濋', '曹骏', '王玉雯', '蒋易', '李晨晖', '范明', '蒋雯丽']",['遇见你真好'],"['剧情', '喜剧', '爱情']",['4.7'],['22515'],[' 汉语普通话']
[' 中国大陆 / 法国'],['王超'],['83'],['04'],"['韩庚', '杰瑞米·埃尔卡伊姆', '菅纫姿', '阿丽斯·德·朗克桑', '海伦·文森特', '雷诺·科恩', '胡瑞杰', '安迪·吉雷', '邓紫衣', '罗阜艺', '朱宏奇']",['寻找罗麦'],"['剧情', '爱情']",['4.4'],['5748'],[' 汉语普通话 / 英语 / 藏语 / 法语']
[' 中国大陆'],['卢庚戌'],['90'],[],"['徐娇', '谢彬彬', '晏紫东', '黄婷婷', '吕绍聪', '金志文', '曾黎', '保剑锋', '卢庚戌', '缪杰', '潘斌龙', '易小星']",['一生有你2019'],['爱情'],['4.1'],['5258'],[' 汉语普通话']
[' 中国大陆'],['张鹏'],['141'],['07'],"['吴磊', '梁家辉', '刘嘉玲', '张艺上', '冯嘉怡', '明道', '董琦', '多布杰']",['阿修罗'],"['动作', '爱情', '奇幻']",['3.1'],['16399'],[' 汉语普通话']
[' 中国大陆'],['王才涛'],['104'],[],"['许凯', '赵露思', '焦睿', '梁婧娴', '孟美岐', '张檬', '何明翰', '张秋歌', '杨大鹏']",['蓝色生死恋'],['爱情'],['2.9'],['5917'],[' 汉语普通话']
