地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
[' 美国'],['克里斯托弗·兰登'],['100'],[],"['杰西卡·罗德', '伊瑟尔·布罗萨德', '露比·莫迪恩', '苏拉·沙玛', '史蒂夫·齐西斯', '瑞秋·马休斯', '查尔斯·艾特肯', '莎拉·亚金', '凯莱布·斯比尔亚兹', '吉吉·埃内塔', '劳拉·克利夫顿', '温迪·米克洛维奇', '凯勒布·拿奎恩', '肯尼斯·以色列', '泰内娅·因崔亚戈', '布莱恩·克恩', '川川', '卡瑞尔拉·史密斯', '罗布·梅洛', '林赛·G·史密斯', '飞·武', '莎拉·贝纳尼', '杰奎琳·哈里斯·马瑟恩', '西尔维娅·格雷丝·克里姆', '拉姆齐·安德森']",['忌日快乐2 Happy Death Day 2U'],"['悬疑', '惊悚', '恐怖']",['6.6'],['66934'],[' 英语']
[' 美国 / 日本 / 中国大陆'],['乔丹·皮尔'],['116'],[],"['露皮塔·尼永奥', '温斯顿·杜克', '伊丽莎白·莫斯', '蒂姆·海德克', '莎哈迪·赖特·约瑟夫', '伊万·艾利克斯', '叶海亚·阿卜杜勒-迈丁', '安娜·迪奥普', '卡莉·谢尔顿', '诺尔·谢尔顿', '麦迪逊·柯里', '纳皮埃拉·格罗夫斯', '杜克·尼科尔森', '内森·哈灵顿', '卡拉·海沃德']",['我们 Us'],"['悬疑', '惊悚']",['6.4'],['62549'],[' 英语']
[' 日本'],['中江和仁'],['118'],['01'],"['长泽雅美', '高桥一生', '内藤大湖', '川荣李奈', '黑木瞳', '吉田钢太郎']",['爱上谎言的女人 嘘を愛する女'],"['剧情', '悬疑']",['6.4'],['6670'],[' 日语']
[' 美国'],['加雷斯·埃文斯'],['130'],['10'],"['丹·史蒂文斯', '麦克·辛', '露西·宝通', '比尔·米尔纳', '理查德·艾尔芬', '克里斯汀·弗劳赛斯', '马克·路易斯·琼斯', '埃伦·里斯', '保罗·希金斯', '罗斯·奥亨尼西', '斯图尔特·麦克尼尔', '安妮斯·埃尔维']",['使徒 Apostle'],"['悬疑', '惊悚', '恐怖']",['6.3'],['4811'],[' 英语']
[' 中国大陆'],['崔斯韦'],['111'],['10'],"['张震', '倪妮', '廖凡', '黄觉', '刘桦', '张奕聪', '李光洁', '岳小军', '昌隆']",['雪暴'],"['动作', '悬疑', '犯罪']",['6.2'],['52669'],[' 汉语普通话']
[' 中国大陆'],['李骏'],['113'],[],"['范伟', '宋洋', '焦俊艳', '陈数']",['长安道'],"['剧情', '悬疑', '犯罪']",['6.1'],['38535'],[' 汉语普通话']
[' 中国大陆 / 中国香港'],['徐克'],['132'],['07'],"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯', '刘嘉玲', '盛鉴', '杨一威', '唐古特·宝日夫', '张傲月', '孙蛟龙', '汪汐潮', '铁男', '李炳雷', '许明虎']",['狄仁杰之四大天王'],"['动作', '悬疑', '奇幻', '武侠', '古装']",['6.1'],['234376'],[' 汉语普通话']
[' 中国大陆 / 中国香港'],['邱礼涛'],['99'],[],"['刘德华', '古天乐', '苗侨伟', '林嘉欣', '周秀娜', '应采儿', '陈家乐', '卫诗雅', '郑则仕', '张国强', '陈佩诗', '狼森', '欧阳靖', '恭硕良', '林家栋', '李赏', '张竣杰', '李灿森', '谭小环']",['扫毒2天地对决 掃毒2：天地對決'],"['剧情', '动作', '悬疑', '犯罪']",['6.0'],['203407'],[' 汉语普通话 / 粤语']
[' 美国'],['加里·多伯曼'],['106'],[],"['维拉·法米加', '帕特里克·威尔森', '麦肯娜·格瑞丝', '麦迪森·伊瑟曼', '凯蒂·萨里费', '迈克尔·西米诺', '萨马拉·李', '肯齐·卡普兰', '萨德·卡塔琳娜', '迈克尔·帕特里克·麦克吉尔', '布列塔尼·霍扎', '希拉·麦克兰', '埃迪·J.费尔南德斯', '斯蒂芬·考特尔', '卢卡·卢汉', '卢·卢·萨夫兰', '安东尼·威姆斯', '娜塔莉·萨福兰', '道格拉斯·泰特', '亚历山大·沃德', '艾米丽·布罗斯特']",['安娜贝尔3：回家 Annabelle Comes Home'],"['悬疑', '惊悚', '恐怖']",['5.9'],['22001'],[' 英语']
[' 中国大陆'],['薛晓路'],['139'],[],"['雷佳音', '汤唯', '齐溪', '吴彦姝', '杨立新', '王策', '邢岷山', '陈创', '安地', '王茜', '付宏声']",['吹哨人'],"['剧情', '悬疑', '犯罪']",['5.5'],['29011'],[' 汉语普通话']
[' 中国大陆'],['姜凯阳'],['96'],['09'],"['聂远', '谭凯', '徐露', '于明加', '曲高位', '张陆', '程煜', '宋春丽', '刘小宁', '石兆琪', '董博睿', '彭凌', '刘泳希', '王志刚', '史光辉', '袁满']",['道高一丈'],"['剧情', '悬疑', '犯罪']",['4.9'],['7613'],[' 汉语普通话']
[' 中国大陆'],['刘仪伟'],['99'],['03'],"['小沈阳', '陈意涵', '吴樾', '连凯', '罗海琼', '李易祥', '朱云峰', '刘仪伟']",['我说的都是真的'],"['喜剧', '动作', '悬疑']",['4.8'],['9182'],[' 汉语普通话']
[' 中国大陆 / 中国香港'],['张家辉'],['112'],['04'],"['张家辉', '徐静蕾', '何炅', '余男', '苗侨伟', '元华', '林雪', '张可颐']",['低压槽：欲望之城 低壓槽'],"['剧情', '动作', '悬疑', '犯罪']",['4.4'],['14690'],[' 汉语普通话 / 粤语 / 英语 / 泰语']
地区,导演,时长,月份,演员,电影名,类型,评分,评论数,语言
