电影名,评分,导演,演员,月份,类型,时长,语言,评论数,地区
['何以为家 كفرناحوم'],['9.1'],['娜丁·拉巴基'],"['赞恩·阿尔·拉菲亚', '约丹诺斯·希费罗', '博鲁瓦蒂夫·特雷杰·班科尔', '卡萨尔·艾尔·哈达德', '法迪·尤瑟夫', '海塔·塞德拉·伊扎姆', '阿拉·乔什涅', '娜丁·拉巴基', '埃利亚斯·库利', '努尔·艾尔·侯赛尼']","['05', '09']",['剧情'],['126'],[' 阿拉伯语 / 阿姆哈拉语'],['652492'],[' 黎巴嫩 / 法国 / 美国']
['复仇者联盟4：终局之战 Avengers: Endgame'],['8.5'],"['安东尼·罗素', '乔·罗素']","['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '斯嘉丽·约翰逊', '杰瑞米·雷纳', '保罗·路德', '凯伦·吉兰', '唐·钱德尔', '布丽·拉尔森', '布莱德利·库珀', '泰莎·汤普森', '汤姆·赫兰德', '伊丽莎白·奥尔森', '本尼迪克特·康伯巴奇', '蒂尔达·斯文顿', '格温妮斯·帕特洛', '蕾妮·罗素', '约翰·斯拉特里', '查德维克·博斯曼', '安东尼·麦凯', '塞巴斯蒂安·斯坦', '克里斯·帕拉特', '汤姆·希德勒斯顿', '佐伊·索尔达娜', '丹娜·奎里拉', '本尼迪克特·王', '庞·克莱门捷夫', '戴夫·巴蒂斯塔', '利蒂希娅·赖特', '伊万杰琳·莉莉', '乔恩·费儒', '海莉·阿特维尔', '娜塔莉·波特曼', '玛丽莎·托梅', '塔伊加·维迪提', '安吉拉·贝塞特', '迈克尔·道格拉斯', '米歇尔·菲佛', '威廉·赫特', '寇碧·史莫德斯', '肖恩·古恩', '温斯顿·杜克', '琳达·卡德里尼', '马克斯米利亚诺·赫尔南德斯', '弗兰克·格里罗', '真田广之', '汤姆-沃恩-劳勒', '詹姆斯·达西', '雅各布·巴特朗', '范·迪塞尔', '罗伯特·雷德福', '乔什·布洛林', '塞缪尔·杰克逊', '伊薇特·尼科尔·布朗', '卡梅伦·布鲁姆布罗', '蒂莫西·卡尔', '凯瑞·康顿', '迈克尔·A·库克', '凯莉·库恩', '艾玛·福尔曼', '雷纳·加拉赫', '丹妮拉·加斯基', '郑肯', '小弗洛伊德·安东尼·约翰', '斯坦·李', '罗斯·马昆德', '布伦特·麦吉', '迈克尔·皮耶里诺·米勒', '卡兰·马尔韦', '泰瑞·诺塔里', '吉米·雷·皮肯斯', '迈克尔·詹姆斯·肖', '泰·辛普金斯', '格雷格·蒂芬']",[],"['动作', '科幻', '奇幻', '冒险']",['181'],[' 英语 / 日语 / 科萨语'],['841254'],[' 美国']
['红海行动'],['8.3'],['林超贤'],"['张译', '黄景瑜', '海清', '杜江', '蒋璐霞', '尹昉', '王强', '郭家豪', '王雨甜', '麦亨利', '张涵予', '王彦霖']",['02'],"['动作', '战争']",['138'],[' 汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语'],['811476'],[' 中国大陆 / 中国香港']
['唐人街探案2'],['6.7'],['陈思诚'],"['王宝强', '刘昊然', '肖央', '刘承羽', '尚语贤', '王迅', '妻夫木聪', '迈克尔·皮特', '白灵', '元华', '曾江', '王成思', '杨金赐', '范湉湉', '佟丽娅', '陈思诚']",['02'],"['喜剧', '动作', '悬疑']",['121'],[' 汉语普通话'],['696251'],[' 中国大陆']
['小丑 Joker'],['8.7'],['托德·菲利普斯'],"['华金·菲尼克斯', '罗伯特·德尼罗', '马克·马龙', '莎姬·贝兹', '谢伊·惠格姆', '弗兰西丝·康罗伊', '布莱恩·考伦', '布莱恩·泰里·亨利', '布莱特·卡伦', '道格拉斯·霍奇斯', '格伦·弗莱施勒', '比尔·坎普', '乔什·帕斯', '但丁·佩雷拉-奥尔森', '玛丽·凯特·马拉特', '迈克尔·本茨', '莎珑·华盛顿', '桑德拉·詹姆斯', '托尼·赫德', '曼德拉·贝拉米', '乔·奥克曼', '卡尔·伦德施泰特', '米克·奥罗克', '大卫·吉布森', '伊万·罗萨多', '安妮·比萨比亚', '布莱斯·科里根', '乔恩·道格拉斯·雷尼', '艾恩斯利·丹恩', '杰森·约翰·奇卡莱塞']",[],"['剧情', '惊悚', '犯罪']",['122'],[' 英语'],['701928'],[' 美国 / 加拿大']
['调音师 Andhadhun'],['8.3'],['斯里兰姆·拉格万'],"['阿尤斯曼·库拉纳', '塔布', '拉迪卡·艾普特', '安尔·德霍万', '马纳夫·维吉', '阿什维尼·卡尔塞卡', '查亚·卡达姆', '萨基尔·侯赛因', '拉什米·阿格德卡', '莫希尼·凯瓦拉曼']",['10'],"['喜剧', '悬疑', '惊悚', '犯罪']",['139'],[' 印地语 / 英语'],['667287'],[' 印度']
['天气之子 天気の子'],['7.1'],['新海诚'],"['醍醐虎汰朗', '森七菜', '小栗旬', '本田翼', '倍赏千惠子', '吉柳咲良', '平泉成', '梶裕贵', '木村良平', '柴田秀胜', '野泽雅子', '花泽香菜', '佐仓绫音']",[],"['爱情', '动画', '奇幻']",['111'],[' 日语'],['178951'],[' 日本']
['无名之辈'],['8.1'],['饶晓志'],"['陈建斌', '任素汐', '潘斌龙', '章宇', '王砚辉', '九孔', '马吟吟', '程怡', '宁桓宇', '邓恩熙', '谢波', '范翔', '赵梓冲', '史策', '马睿瀚', '林海', '邓钢']",['11'],"['剧情', '喜剧']",['108'],[' 汉语普通话 / 贵州话'],['816368'],[' 中国大陆']
['燃烧 버닝'],['8.0'],['李沧东'],"['刘亚仁', '史蒂文·元', '全钟瑞', '金秀京', '崔承浩', '玉子妍']","['05', '05']","['剧情', '悬疑', '犯罪']",['148'],[' 韩语'],['240669'],[' 韩国']
['决战中途岛 Midway'],['7.7'],['罗兰·艾默里奇'],"['艾德·斯克林', '帕特里克·威尔森', '伍迪·哈里森', '卢克·伊万斯', '丹尼斯·奎德', '曼迪·摩尔', '亚历山大·路德韦格', '艾伦·艾克哈特', '达伦·克里斯', '尼克·乔纳斯', '卢克·克莱恩坦克', '杰克·韦伯', '基恩·约翰逊', '浅野忠信', '大卫·休莱特', '马克·罗斯顿', '布雷南·布朗', '詹姆斯·卡佩内罗', '马修·麦考尔', '格雷格·霍瓦尼西安', '杰克·曼利', '杰弗里·布莱克', '瑞秋·佩雷尔·佛斯基特', '卡梅伦·布罗德', '杰克博·布莱尔', '克里斯蒂·布鲁克', '国村隼', '泰勒·艾略特·伯克', '丰川悦司', '艾梅伯·瓦尔斯', '莫妮卡·比卡罗娃', '托尼·克里斯托弗', '加雷特·佐藤', '罗伯特·克鲁克斯', '埃里克·戴维斯', '托马斯∙瓦利埃', '约翰·洛巴托', '迪索·拉莫斯', '肯尼·梁']",[],"['剧情', '历史', '战争']",['138'],[' 英语'],['169377'],[' 中国大陆 / 美国']
['密室逃生 Escape Room'],['7.2'],['亚当·罗比特尔'],"['泰勒·拉塞尔', '洛根·米勒', '黛博拉·安沃尔', '泰勒·莱伯恩', '杰·埃利斯', '尼克·多达尼', '杰西卡·萨顿', '约里克·范·韦杰宁根', '杰米-李·蒙尼', '亚当·罗比特尔', '韦尔·廷德尔', '肯尼思·霍', '科尼利厄斯·吉尼', '保罗·汉普赛尔', '佩泰·塞彭克', '丹·格伦伯格', '吉诺·李']",[],"['悬疑', '惊悚']",['99'],[' 英语'],['187139'],[' 美国 / 南非']
['超人总动员2 Incredibles 2'],['7.9'],['布拉德·伯德'],"['格雷格·T·尼尔森', '霍利·亨特', '莎拉·沃威尔', '赫克·米尔纳', '伊莱·富西尔', '凯瑟琳·基纳', '塞缪尔·杰克逊', '伊莎贝拉·罗西里尼', '鲍勃·奥登科克', '布拉德·伯德', '索菲亚·布什', '乔纳森·班克斯', '约翰·拉岑贝格', '金伯利·阿代尔·克拉克', '托亚·特纳']","['06', '06']","['喜剧', '动作', '动画', '冒险']",['118'],[' 英语'],['210663'],[' 美国']
['一条狗的使命2 A Dog&#39;s Journey'],['7.0'],['盖尔·曼库索'],"['丹尼斯·奎德', '凯瑟琳·普雷斯科特', '刘宪华', '玛格·海根柏格', '贝蒂·吉尔平', '乔什·加德', '艾比·莱德·弗特森', '杰克·曼利', '达妮埃拉·巴博萨', '陈琦烨', '杰夫·罗普', '吉姆·科比']",[],"['剧情', '喜剧', '家庭']",['108'],[' 英语'],['91513'],[' 中国大陆 / 印度 / 中国香港 / 美国']
['“大”人物'],['6.5'],['五百'],"['王千源', '包贝尔', '王迅', '王砚辉', '屈菁菁', '周游', '韩烨洲', '盖玥希', '刘敏涛', '梅婷', '潘粤明', '乔振宇', '景岗山', '杜源', '高捷', '寇占文', '刘天佐', '马浴柯', '霍青', '邢瀚卿', '李蓓蕾', '万沛鑫', '张皓然', '谢孟伟', '姜寒', '肖涵', '吕晓霖', '马京京', '黎宇航', '成方旭', '王子清', '王昱涵', '王昱淇', '郭紫铭', '要武', '滕根', '张奥']",[],"['动作', '犯罪']",['107'],[' 汉语普通话'],['175385'],[' 中国大陆']
['平原上的夏洛克'],['7.9'],['徐磊'],"['徐朝英', '张占义', '宿树合']",[],"['剧情', '喜剧', '悬疑']",['98'],[' 汉语普通话'],['90211'],[' 中国大陆']
['狄仁杰之四大天王'],['6.1'],['徐克'],"['赵又廷', '冯绍峰', '林更新', '阮经天', '马思纯', '刘嘉玲', '盛鉴', '杨一威', '唐古特·宝日夫', '张傲月', '孙蛟龙', '汪汐潮', '铁男', '李炳雷', '许明虎']",['07'],"['动作', '悬疑', '奇幻', '武侠', '古装']",['132'],[' 汉语普通话'],['234403'],[' 中国大陆 / 中国香港']
['火口的两人 火口のふたり'],['7.1'],['荒井晴彦'],"['柄本佑', '泷内公美']",[],['爱情'],['115'],[' 日语'],['23486'],[' 日本']
