电影名,评分,导演,演员,月份,类型,时长,语言,评论数,地区
['使徒行者2：谍影行动'],['6.3'],['文伟鸿'],"['张家辉', '古天乐', '吴镇宇', '姜珮瑶', '张亦驰', '刘宇宁', '黄志忠', '蔡洁', '马德钟', '袁伟豪', '陈山聪', '王君馨', '张宝儿', '江嘉敏', '李忠希', '刘楚恬', '欧瑞伟', '郑启泰', '黄祥兴', '徐荣', '林伟', '吴瑞庭', '卫志豪', '黎振烨', '汤洛雯', '许绍雄', '关婉珊']",[],"['剧情', '动作', '犯罪']",['98'],[' 粤语 / 汉语普通话'],['161199'],[' 中国大陆 / 中国香港']
['昆池岩 곤지암'],['6.1'],['郑凡植'],"['魏化俊', '朴智炫', '吴雅妍', '文艺媛', '朴成焄', '刘帝允', '李承旭']",['03'],['恐怖'],['94'],[' 韩语'],['137575'],[' 韩国']
['星际探索 Ad Astra'],['6.7'],['詹姆斯·格雷'],"['布拉德·皮特', '汤米·李·琼斯', '丽芙·泰勒', '鲁丝·内伽', '唐纳德·萨瑟兰', '劳恩·迪恩', '唐尼·科沙瓦茨', '肖恩·布莱克默', '鲍比·内什', '丽莎盖伊·汉密尔顿', '约翰·芬', '约翰·奥提兹', '弗雷达·福斯·沈', '凯拉·亚当斯', '拉维·卡普尔', '金伯莉·伊丽丝', '埃莉莎·佩里', '丹尼尔·萨乌利', '吉米·希尔兹', '库纳尔·杜德赫克', '格雷格·布瑞克', '艾莉森·瑞德', '莎莎·康普', '娜塔莎·雷昂', '洛雷尔·伯德·多夫曼', '哈尔茨卡·库扎', '希拉·M·洛克哈特', '马洛里·露', '安妮·麦克代尼尔斯', '珍·莫里洛', '罗切尔·罗斯', '瓦莱丽·罗斯']",[],"['科幻', '冒险']",['124'],[' 英语 / 日语 / 俄语 / 挪威语'],['96064'],[' 美国 / 中国大陆']
['胖子行动队'],['4.2'],['包贝尔'],"['文章', '包贝尔', '郭京飞', '李成敏', '辣目洋子', '许君聪', '曾一竣', '张梦露', '戚玉武', '仓田保昭', '木幡龙', '宋佳', '文隽']",['09'],"['喜剧', '动作']",['108'],[' 汉语普通话'],['67240'],[' 中国大陆']
['灭绝 Extinction'],['5.6'],['本·扬'],"['迈克尔·佩纳', '丽兹·卡潘', '伊瑟尔·布罗萨德', '迈克·柯尔特', '艾玛·布斯', '莱斯·施拉普内尔', '埃丽卡·特伦布莱', '莉莉·阿斯佩尔', '汤姆·莱利', '伊万娜·基夫科维奇', '阿梅利亚·克劳奇', '桑德拉·特蕾丝', '尼古拉·肯特']",['07'],"['科幻', '惊悚']",['95'],[' 英语'],['13371'],[' 美国']
['热带雨'],['7.7'],['陈哲艺'],"['杨雁雁', '许家乐', '李铭顺', '杨世彬']",[],['剧情'],['103'],[' 英语 / 汉语普通话 / 福建话'],['19243'],[' 新加坡 / 中国台湾']
['阳光姐妹淘 SUNNY 強い気持ち・強い愛'],['8.3'],['大根仁'],"['筱原凉子', '广濑铃', '板谷由夏', '小池荣子', '友坂理惠', '渡边直美', '池田依来沙', '山本舞香', '野田美櫻', '田边桃子', '富田望生', '三浦春马', '中川雅也', '新井浩文', '矢本悠马']",['08'],"['剧情', '喜剧', '歌舞']",['119'],[' 日语'],['40414'],[' 日本']
['亲爱的新年好'],['5.7'],['彭宥纶'],"['白百何', '张子枫', '魏大勋', '许娣', '李建义', '吕星辰', '袁文康', '温升豪', '海一天', '刘畅', '吕聿来', '赵子琪', '吴昊宸', '白举纲', '赵天宇', '赵阳']",[],"['剧情', '爱情']",['110'],[' 汉语普通话'],['59188'],[' 中国大陆']
['友情以上 Friend Zone ระวัง..สิ้นสุดทางเพื่อน'],['6.3'],['查亚诺普·布恩帕拉科布'],"['平采娜·乐维瑟派布恩', '奈哈·西贡索邦', '杰森·杨', '纳塔西特·科蒂马努瓦尼', '本杰明·约瑟夫·瓦尼', '苏哈帕特·洛瓦查林', '朱主爱', '珐尤·珐尤·凯伊·提因', '劳拉·马姆', '奥黛丽·塔皮赫鲁', '坎蒂卡·阿比盖尔', '孟佳', '克劳迪娅·巴雷托', '帕米', '黄明志', '南芬·英迪', '芝芙']",[],"['喜剧', '爱情']",['120'],[' 泰语'],['46512'],[' 泰国']
['我在雨中等你 The Art of Racing in the Rain'],['8.2'],['西蒙·柯蒂斯'],"['凯文·科斯特纳', '米洛·文堤米利亚', '阿曼达·塞弗里德', '马丁·唐文', '盖瑞·科尔', '凯西·贝克', '阿尔·萨皮恩扎', '莉莉·多斯沃斯-埃文斯', '赖恩·基拉·阿姆斯特朗', '凯伦·霍尔尼斯', '麦金利·贝尔彻', '阿里萨·维拉尼', '伊丽莎白·鲍恩', '帕特里克·罗卡斯', '李利强', '吉安皮罗·科格诺利']",[],"['剧情', '喜剧', '爱情', '运动']",['109'],[' 英语 / 意大利语'],['32377'],[' 美国']
['霹雳娇娃 Charlie&#39;s Angels'],['5.5'],['伊丽莎白·班克斯'],"['克里斯汀·斯图尔特', '娜奥米·斯科特', '埃拉·巴林斯卡', '伊丽莎白·班克斯', '帕特里克·斯图尔特', '山姆·克拉弗林', '乔纳森·塔克', '奈特·法松', '诺亚·琴蒂内奥', '路易斯·赫拉尔多·门德斯', '杰曼·翰苏', '吴育刚', '利维娅‧马特斯', '莎拉·贝纳尼', '罗伯特‧马瑟', '丹尼尔·里索', '穆拉利·佩鲁马尔', '杰奎琳·史密斯', '海莉·斯坦菲尔德', '丽丽·莱因哈特', '拉弗恩·考克斯', '丹尼卡·帕翠克', '龙达·鲁西']",[],"['动作', '冒险']",['119'],[' 英语'],['51156'],[' 美国']
['你会在20岁时死去 ستموت في العشرين'],['7.3'],['Amjad Abu Alala '],"['Mazin Ahmed', 'Talal Afifi', 'Moatasem Rashed', 'Mustafa Shehata', 'Bonna Khalid', 'Hassan Ali', 'Islam Mubarak', 'Mahmoud Alsarraj', 'Mohamed Khalil']",[],['剧情'],['105'],[' 阿拉伯语'],['1038'],[' 苏丹 / 法国 / 埃及 / 德国 / 挪威 / 卡塔尔']
['柳烈的音乐专辑 유열의 음악앨범'],['7.8'],['郑址宇'],"['金高银', '丁海寅', '朴海俊', '金国熙', '郑幼贞', '崔俊英']",[],"['剧情', '爱情']",['122'],[' 韩语'],['40929'],[' 韩国']
['一个明星的诞生 A Star Is Born'],['7.3'],['布莱德利·库珀'],"['Lady Gaga', '布莱德利·库珀', '山姆·艾里奥特', '安德鲁·戴斯·克雷', '拉菲·格拉沃恩', '安东尼·拉莫斯', '大卫·查普尔', '亚历克·鲍德温', '马龙·威廉姆斯', '布兰迪·卡莉', '朗·瑞弗金', '巴里·沙巴卡·亨利', '迈克尔·D·罗伯茨', '迈克尔·哈尔尼', '丽贝卡·菲尔德', '威廉·贝利', '格雷戈·格伦伯格', 'D·J·尚格拉·皮尔斯', '德瑞娜·德尼罗', '艾迪·格里芬', '哈尔希', '马修·利巴提克', '路奈尔·坎贝尔', '唐·渥斯', '伦尼·卡斯特罗', '唐·罗伊·金', '格雷戈里·斯卡尔尼奇', '弗兰克·安妮罗', '杰尔马诺·布兰科', '梅根·豪恩', '马克·查普曼', '史蒂文·西塞罗', '阿曼达·菲尔茨', '阿尔弗雷德·加比杜林', '弗雷德里克·基夫']","['08', '10']","['剧情', '爱情', '音乐']",['135'],[' 英语'],['97493'],[' 美国']
['罗马 Roma'],['8.2'],['阿方索·卡隆'],"['雅利扎·阿巴里西奥', '玛丽娜·德·塔维拉', '迭戈·科蒂娜·奥特里', '卡洛斯·佩拉尔塔', '马科·格拉夫', '丹妮拉·德米萨', '南茜·加西亚', '维罗妮卡·加西亚', '安迪·科特斯', '费尔南多·格雷迪亚加', '豪尔赫·安东尼奥·格雷罗', '拉丁·洛弗']","['08', '12']","['剧情', '家庭']",['135'],[' 西班牙语 / 英语 / 日语 / 德语 / 法语 / 挪威语'],['112888'],[' 美国 / 墨西哥']
['小羊肖恩2：末日农场 A Shaun the Sheep Movie: Farmageddon'],['7.7'],"['威尔·比彻', '理查德·费兰']","['贾斯汀·弗莱彻', '约翰·斯帕克斯', '克里斯·莫雷尔', '安迪·尼曼', '戴维·霍尔特', '凯特·哈伯', '阿玛莉亚·维塔莱', '乔·萨格']",[],"['喜剧', '科幻', '动画', '冒险']",['87'],[' 英语'],['13900'],[' 英国 / 法国 / 美国']
['无主之作 Werk ohne Autor'],['8.6'],['弗洛里安·亨克尔·冯·多纳斯马尔克'],"['汤姆·希林', '塞巴斯蒂安·科赫', '葆拉·贝尔', '莎斯琪亚·罗森道尔', '奥利弗·马苏奇', '叶甫根尼·希迪金', '马克·扎克', '乌尔里克·C·扎勒', '巴斯蒂安·特罗斯特', '汉斯-尤韦·鲍尔', '汉诺·科夫勒', '辛纳克·勋纳曼', '詹妮特·海因', '乔切·舒托夫', '约翰娜·加斯多夫', '弗罗里安·巴西奥罗麦', '本·贝克']","['09', '10']",['剧情'],['189'],[' 德语 / 俄语'],['46503'],[' 德国 / 意大利']
['紫罗兰永恒花园外传：永远与自动手记人偶 ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -'],['7.5'],['藤田春香'],"['石川由依', '茅原实里', '远藤绫', '寿美菜子', '子安武人', '户松遥', '内山昂辉', '悠木碧']",[],"['剧情', '动画']",['91'],[' 日语'],['30608'],[' 日本']
['看不见的女人 A vida invisível de Eurídice Gusmão'],['7.8'],['卡里姆·埃诺兹'],"['朱莉娅·斯托克勒', '卡罗尔·杜阿尔特', '弗拉维亚·古兹曼', '安托尼欧·方塞卡', '雨果·克鲁兹', '尼古拉斯·安东尼', '马丽亚·曼诺埃拉', '格莱郭廖· 杜威维埃', '塞缪尔·托莱多', '卢安娜·泽维尔', '纳尔逊·费雷拉', '安德丽莎·卡布拉尔', '卢米·金', '雪莉·克鲁兹', '芭芭拉·桑托斯', '马西奥·维托', '爱德华多·托纳吉', '伊萨克·达霍拉', '费尔南多·塞兰', '弗拉维奥·保乌拉奇', '拉斐尔·拉波索', '克劳迪奥·加布里埃尔', '克里斯蒂娜·佩雷拉', '费尔兰德·蒙特纳哥']",[],['剧情'],['145'],[' 葡萄牙语'],['3667'],[' 巴西']
['小飞象 Dumbo'],['6.7'],['蒂姆·波顿'],"['伊娃·格林', '科林·法瑞尔', '迈克尔·基顿', '妮可·帕克', '芬利·霍宾斯', '丹尼·德维托', '艾伦·阿金', '卡米尔·雷米泽斯基', '约瑟夫·盖特', '桑迪·马丁', '乔·奥斯蒙德', '莎朗·鲁妮', '拉斯·艾丁格', '罗珊·塞斯', '道比·欧帕瑞', '迈克尔·巴佛', '杰茜·维宁', '伯纳多·桑托斯', '贝恩·科拉科', '文森特·阿德里安', '菲利普·罗施', '露西·德维托', '拉普洛斯·卡伦福佐斯', '阿梅吉特·德尤', '史蒂芬·萨姆森', '埃里克·海登']",[],"['奇幻', '冒险']",['112'],[' 英语'],['56900'],[' 美国']
['朱迪 Judy'],['7.5'],['鲁伯特·古尔德'],"['蕾妮·齐薇格', '贝拉·拉姆齐', '卢夫斯·塞维尔', '杰西·巴克利', '迈克尔·刚本', '勒温·劳埃德', '芬·维特洛克', '安迪·尼曼', '费奈拉·伍尔加', '罗伊斯·皮尔逊', '约翰·达格尔什', '菲尔·邓斯特', '露西·拉塞尔', '嘉玛-莉亚·德弗罗', '菲利普·斯波', '蒂姆·埃亨', '宾利·卡鲁', '朱利安·费罗', '伊斯雷尔·鲁兹']",[],"['剧情', '爱情', '传记']",['118'],[' 英语'],['26418'],[' 英国']
['一条狗的回家路 A Dog&#39;s Way Home'],['6.9'],['查尔斯·马丁·史密斯'],"['艾什莉·贾德', '乔纳·豪尔-金', '狗狗谢尔比', '亚历山德拉·希普', '韦斯·斯塔迪', '布莱丝·达拉斯·霍华德', '巴里·沃森', '克里斯·鲍尔', '塔米·吉利斯', '派崔克·盖勒', '爱德华·詹姆斯·奥莫斯', '露西娅·沃尔特斯', '莱恩·爱德华兹', '约翰·卡西尼', '本杰明·拉特纳', '斯宾塞·德雷弗', '阿丽尔·图里奥', '詹妮弗·吉布森', '罗南多·博伊斯', '法拉赫·阿维瓦', '达西·劳瑞', '特洛伊·鲁道夫']",[],"['剧情', '冒险']",['96'],[' 英语'],['31264'],[' 美国']
['大师兄 大師兄'],['5.2'],['阚家伟'],"['甄子丹', '陈乔恩', '喻亢', '骆明劼', '汤君慈', '汤君耀', '李靖筠', '刘朝健', '林秋楠', '云千千', '林嘉华', '张坚庭', '骆应钧', '李枫', '欧阳伟豪', '楼南光', '张文杰']",['08'],"['喜剧', '动作']",['100'],[' 粤语'],['34478'],[' 中国大陆 / 中国香港']
['人间·喜剧'],['3.4'],['孙周'],"['艾伦', '王智', '鲁诺', '任达华', '金士杰', '潘斌龙', '周显欣', '九孔', '董立范', '史航', '罗京民']",[],['喜剧'],['90'],[' 汉语普通话'],['26001'],[' 中国大陆']
['跳舞吧！大象'],['5.0'],['林育贤'],"['艾伦', '金春花', '彭杨', '宋楠惜', '静芳', '李泰延', '焦刚', '石悦安鑫', '王霏霏', '张信哲']",[],"['剧情', '喜剧', '歌舞']",['114'],[' 汉语普通话'],['34807'],[' 中国大陆']
['闺蜜2'],['2.7'],['黄真真'],"['薛凯琪', '陈意涵', '张钧甯', '迈克·泰森', '王水林', '陈宝山', '阮金红', '范湉湉']",['03'],"['喜剧', '爱情']",['109'],[' 汉语普通话'],['20910'],[' 中国香港 / 中国大陆']
['bilibili晚会二零一九最美的夜'],['9.1'],['宫鹏'],"['朱广权', '陈超', '周延', '彭磊', '赵梦', '庞宽', '冯提莫', '陈乐一', '张光北', '胡彦斌', '易言', '周笔畅', '张蔷', '理查德·克莱德曼', '方锦龙', '戴荃', '周深', '邓紫棋', '吴亦凡', '陈信宏', '蔡升晏', '石锦航', '温尚翊', '刘冠佑', '王禹', '方颂评', '肥皂菌', '陆二胡', '孟晓洁', '洛天依', '克丽希·克斯丹萨', '路卡·苏利克', '段汁', '赵兆']",[],"['歌舞', '真人秀']",['212'],[' 汉语普通话'],['30020'],[' 中国大陆']
['掠食城市 Mortal Engines'],['6.4'],['克里斯蒂安·瑞沃斯'],"['海拉·西尔玛', '雨果·维文', '金智海', '罗伯特·席安', '莱拉·乔治', '史蒂芬·朗', '弗兰基·亚当斯', '凯伦·皮斯托里斯', '科林·萨蒙', '安德鲁斯·李斯', '莎拉·慕恩', '罗南·拉夫特瑞', '乔尔·托贝克', '帕特里克·麦拉海德', '史蒂芬·乌瑞', '马尼克·古纳拉塔尼', '菲利普·里夫', '纳撒尼尔·利斯', '雷吉-让·佩吉', '卡卢姆·吉廷斯', '安柚鑫', '马克·哈德洛', '马克米钦森', '索菲·考克斯', '莎拉·皮尔斯', '奇·陈', '约瑟夫·米卡-亨特', '特里·诺瑞斯', '安龙·杰克森', '梅根·爱德华兹', '尼克·布雷克', '玛丽亚·沃克', '阿曼·韦弗', '玛德琳·亚当斯', '马丁·郭', '罗德尼·库克']",['12'],"['动作', '科幻', '冒险']",['128'],[' 英语'],['52451'],[' 美国 / 新西兰']
['脱单告急'],['5.6'],['柯孟融'],"['董子健', '钟楚曦', '春夏', '袁福福', '靳锦', '尹雨航', '吴昱瑶', '刘梦梦', '郗婧妍', '银雪', '杜珺']","['04', '04']","['喜剧', '爱情']",['106'],[' 汉语普通话'],['15082'],[' 中国大陆']
['忌日快乐2 Happy Death Day 2U'],['6.6'],['克里斯托弗·兰登'],"['杰西卡·罗德', '伊瑟尔·布罗萨德', '露比·莫迪恩', '苏拉·沙玛', '史蒂夫·齐西斯', '瑞秋·马休斯', '查尔斯·艾特肯', '莎拉·亚金', '凯莱布·斯比尔亚兹', '吉吉·埃内塔', '劳拉·克利夫顿', '温迪·米克洛维奇', '凯勒布·拿奎恩', '肯尼斯·以色列', '泰内娅·因崔亚戈', '布莱恩·克恩', '川川', '卡瑞尔拉·史密斯', '罗布·梅洛', '林赛·G·史密斯', '飞·武', '莎拉·贝纳尼', '杰奎琳·哈里斯·马瑟恩', '西尔维娅·格雷丝·克里姆', '拉姆齐·安德森']",[],"['悬疑', '惊悚', '恐怖']",['100'],[' 英语'],['66955'],[' 美国']
['坏家伙们 나쁜 녀석들'],['6.6'],['孙容镐'],"['马东锡', '金相中', '金雅中', '张基龙', '姜艺媛']",[],"['动作', '犯罪']",['114'],[' 韩语'],['17288'],[' 韩国']
['鬼影特攻：以暴制暴 6 Underground'],['6.3'],['迈克尔·贝'],"['瑞恩·雷诺兹', '本·哈迪', '梅拉尼·罗兰', '阿德里娅·阿霍纳', '戴夫·弗兰科', '科里·霍金斯', '塞巴斯蒂安·罗奇', '曼努埃尔·加西亚-鲁尔福', '詹姆斯·莫瑞', '利奥·拉兹', '埃莱娜·卡多纳', '佩曼·莫阿迪', '尤里·科洛科利尼科夫', '金·柯尔德', '丹尼尔·阿德博伊加', '詹姆斯·卡罗尔·乔丹', '康斯坦丁·格雷戈里', '彼得·阿佩塞拉', '托多尔·乔丹诺夫', '里纳特·希什马塔林', '莉迪亚·佛朗哥', '罗杰·内瓦雷斯', '舒巴姆·沙拉夫']",[],"['动作', '惊悚']",['127'],[' 英语 / 土库曼语 / 粤语 / 意大利语 / 西班牙语 / 乌克兰语 / 法语'],['24341'],[' 美国']
['吹哨人'],['5.5'],['薛晓路'],"['雷佳音', '汤唯', '齐溪', '吴彦姝', '杨立新', '王策', '邢岷山', '陈创', '安地', '王茜', '付宏声']",[],"['剧情', '悬疑', '犯罪']",['139'],[' 汉语普通话'],['29022'],[' 中国大陆']
['好人难寻 A Good Woman Is Hard to Find'],['6.4'],['阿布内尔·帕斯托尔'],"['莎拉·伯格', '爱德华·霍格', '安德鲁·辛普森', 'Jane Brennan', '考兰·伯恩', 'Packy Lee', 'Rudy Doherty', 'Macie McCauley']",[],"['动作', '惊悚']",['97'],[' 英语'],['1198'],[' 英国 / 比利时']
['游戏之夜 Game Night'],['7.1'],"['约翰·弗朗西斯·戴利', '乔纳森·M·戈尔茨坦']","['杰森·贝特曼', '瑞秋·麦克亚当斯', '凯尔·钱德勒', '莎朗·豪根', '比利·马格努森', '拉蒙尼·莫里斯', '凯莉·班伯里', '杰西·普莱蒙', '迈克尔·C·豪尔', '丹尼·赫斯顿', '切尔西·帕瑞蒂', '卡米利·陈', '泽瑞克·威廉姆斯', '约书亚·米克尔', 'R·F·戴利']",['02'],"['喜剧', '悬疑', '犯罪']",['100'],[' 英语'],['48921'],[' 美国']
['极线杀手 Polar'],['7.1'],['乔纳斯·阿克伦德'],"['麦斯·米科尔森', '凡妮莎·哈金斯', '凯瑟琳·温妮克', '罗伯特·梅耶', '马特·卢卡斯', '露比·欧·菲', '阿伊莎·伊萨', '阿纳斯塔西娅·玛莉尼娜', '佩德罗·米盖尔·阿尔斯', '约翰尼·诺克斯维尔', '罗维娜·亚瓦里', '任霏', '克雷格·伯纳托夫斯基', '米歇尔·C·福柯']",[],['动作'],['118'],[' 英语 / 俄语'],['35105'],[' 美国 / 德国']
['女警 걸캅스'],['6.8'],['郑多元'],"['罗美兰', '李圣经', '尹相铉', '崔秀英', '廉惠兰', '魏化俊', '朱宇宰', '姜宏硕', '金道完', '安昌焕', '李贞敏', '朴素恩', '赵炳奎', '成东日', '河正宇', '安宰弘']",[],"['喜剧', '动作', '悬疑', '犯罪']",['107'],[' 韩语'],['21467'],[' 韩国']
['女王的柯基 The Queen&#39;s Corgi'],['5.8'],"['文森特·凯斯特鲁特', '本·斯塔森']","['鲁斯蒂·沙克尔福特', '乔·怀亚特', '利奥·巴拉卡特', '玛丽·德文', '迪诺·安德拉德', '乔伊·卡门', '柯克·桑顿', 'Madison Brown', 'Dave B. Mitchell', '汤姆·康特奈', '乔恩·卡肖', '萨拉·哈德兰', '马特·卢卡斯', '柯林·麦克法兰', '谢里丹·史密斯', '黛布拉·斯蒂芬森', '妮娜·瓦迪娅', '朱丽·沃特斯', '杰克·怀特霍尔', '雷·温斯顿']",[],"['喜剧', '动画']",['85'],[' 英语'],['11158'],[' 比利时']
['下一任：前任'],['2.8'],['陈鸿仪'],"['郭采洁', '郑恺', '李东学', '谢依霖', '刘心悠', '邱欣怡', '李荣浩', '蓝心湄', '林辰唏', '林美秀']",[],['爱情'],['99'],[' 汉语普通话'],['24028'],[' 中国台湾 / 中国大陆']
['伦敦生活 National Theatre Live: Fleabag'],['8.9'],"['维姬·琼斯', 'Tony Grech-Smith']",['菲比·沃勒-布里奇'],[],['喜剧'],['107'],[' 英语'],['4178'],[' 英国']
['那一夜，我给你开过车'],['4.7'],['林晓丽'],"['田雨', '左小青', '种丹妮', '刘金山', '李菁菁', '郑天龙', '钱璇', '张炜迅']",[],['剧情'],['110'],[' 汉语普通话'],['2770'],[' 中国大陆']
['安娜贝尔3：回家 Annabelle Comes Home'],['5.9'],['加里·多伯曼'],"['维拉·法米加', '帕特里克·威尔森', '麦肯娜·格瑞丝', '麦迪森·伊瑟曼', '凯蒂·萨里费', '迈克尔·西米诺', '萨马拉·李', '肯齐·卡普兰', '萨德·卡塔琳娜', '迈克尔·帕特里克·麦克吉尔', '布列塔尼·霍扎', '希拉·麦克兰', '埃迪·J.费尔南德斯', '斯蒂芬·考特尔', '卢卡·卢汉', '卢·卢·萨夫兰', '安东尼·威姆斯', '娜塔莉·萨福兰', '道格拉斯·泰特', '亚历山大·沃德', '艾米丽·布罗斯特']",[],"['悬疑', '惊悚', '恐怖']",['106'],[' 英语'],['22012'],[' 美国']
['然后我们跳了舞 და ჩვენ ვიცეკვეთ'],['7.9'],['列万·阿金'],"['列文·格尔巴赫亚尼', '巴奇·瓦利什维利', '安娜·贾瓦基什维利', '格奥尔基·采列捷利', '塔马尔·布赫尼卡什维利', '玛丽卡·戈吉查什维利', '卡卡·戈吉泽', '莱万·加布拉瓦', '安娜·马克哈泽', '尼诺·加比索尼亚', '马特·基沙德利', '阿莱科·贝加里什维利', '沙巴·阿巴希泽', '索索·阿布拉米什维利', '戴维特·阿布拉泽']",[],"['剧情', '同性']",['113'],[' 格鲁吉亚语'],['5632'],[' 瑞典 / 格鲁吉亚 / 法国']
['噩梦娃娃屋 Ghostland'],['7.1'],['巴斯卡·劳吉哈'],"['克里斯塔尔·里德', '玛莲·法莫', '阿纳斯塔西娅·菲利普斯', '艾米莉亚·琼斯', '泰勒·辛克森', '凯文·泡尔', '罗布·阿切尔', 'Mariam Bernstein', '艾丽西亚·约翰斯顿', '埃内斯托·格里菲思', '亚当·哈蒂格', '丹尼斯·科齐', '沙龙·巴杰', '托尼·布拉加', '保罗·特利', '戈登·坦纳', '埃里克·阿塔瓦尔', '保罗·布莱恩特', '泰瑞·雷', '苏珊娜·普林格尔', '马利克·劳吉尔', '安吉拉·阿瑟']",['03'],"['悬疑', '惊悚', '恐怖']",['91'],[' 英语 / 法语'],['19708'],[' 法国 / 加拿大']
['素人特工'],['3.5'],['袁锦麟'],"['王大陆', '张榕容', '米拉·乔沃维奇', '许魏洲', '刘美彤', '肖战', '林雪', '大卫·麦金尼斯', '鲁诺', '陈国坤', '周海媚']",[],"['喜剧', '动作', '冒险']",['113'],[' 汉语普通话'],['33355'],[' 中国大陆']
['克里斯托弗·罗宾 Christopher Robin'],['8.0'],['马克·福斯特'],"['伊万·麦克格雷格', '海莉·阿特维尔', '勃朗特·卡迈克尔', '马克·加蒂斯', '奥利弗·福德·戴维斯', '阿德里安·斯卡伯勒', '罗杰·阿什顿-格里菲斯', '阿曼达·劳伦斯', '凯蒂·卡迈克尔', '特里斯坦·斯特罗克', '保罗·查希迪', '迈克尔·吉恩', '舒雅德·法瑞斯', '马特·贝里', '西蒙·法纳比', '麦肯锡·克鲁克', '吉姆·卡明斯', '布拉德·加内特', '尼克·穆罕默德', '彼得·卡帕尔迪', '苏菲·奥康内多', '托比·琼斯', '李·阿斯奎斯-柯', '罗伊·贝克', '金塔雷·贝尼奥拉维特', '贝恩·科拉科', '托马斯·派登', '库姆德·潘特', '理查德·谢尔曼', '彼得·辛格', '卡罗尔·斯蒂尔', '艾薇·维']",['08'],"['喜剧', '动画', '冒险']",['104'],[' 英语'],['27748'],[' 美国']
['蓝色生死恋'],['2.9'],['王才涛'],"['许凯', '赵露思', '焦睿', '梁婧娴', '孟美岐', '张檬', '何明翰', '张秋歌', '杨大鹏']",[],['爱情'],['104'],[' 汉语普通话'],['5932'],[' 中国大陆']
['真相 La vérité'],['7.1'],['是枝裕和'],"['凯瑟琳·德纳芙', '朱丽叶·比诺什', '伊桑·霍克', '露德温·塞尼耶', '阿兰·利博', '罗杰·范·胡尔', '洛朗特·卡普洛托', '玛雅·珊萨', '杰基·贝约尔', '赫尔米·德里迪', 'Virgile Fouilou', 'Stéphane Ly-Cuong', '亚历珊德拉·耶尔马克', 'Sébastien Chassagne', 'Manon Clavel', 'Clémentine Grenier', 'Christian Crahay']",[],['剧情'],['106'],[' 法语 / 英语'],['5449'],[' 法国 / 日本']
['熊出没·原始时代'],['6.7'],"['丁亮', '林汇达']","['张伟', '张秉君', '谭笑', '宋祖儿', '刘思奇', '万丹青', '刘沛', '孟雨田']",[],"['喜剧', '动画', '冒险']",['88'],[' 汉语普通话'],['17384'],[' 中国大陆']
['邻座的怪同学 となりの怪物くん'],['6.2'],['月川翔'],"['菅田将晖', '土屋太凤', '古川雄辉', '山田裕贵', '池田依来沙', '滨边美波', '佐野岳', '佐野史郎', '速水直道']",['04'],"['剧情', '喜剧', '爱情']",['105'],[' 日语'],['15216'],[' 日本']
['布鲁克林秘案 Motherless Brooklyn'],['7.0'],['爱德华·诺顿'],"['爱德华·诺顿', '古古·姆巴塔-劳', '亚历克·鲍德温', '鲍比·坎纳瓦尔', '威廉·达福', '布鲁斯·威利斯', '伊桑·苏普利', '切莉·琼斯', '达拉斯·罗伯特斯', '乔什·帕斯', '拉杜·斯平格尔', '费舍·史蒂芬斯', '罗伯特·维斯多姆', '迈克尔·肯尼斯·威廉姆斯', '埃里克·贝瑞曼', '尼尔森·艾维登', '莱斯利·曼恩', '凯蒂·戴维斯', '奥利·哈斯基维', '黛博拉·安格', '埃兹拉·巴恩斯', '斯蒂芬·阿德利·葛尔盖', '拉塞尔·G·琼斯', '布莱斯·科里根', '列尼斯·德洛桑托斯', '桃乐丝·麦卡锡', '罗伯特·迈尔斯']",[],"['剧情', '犯罪']",['144'],[' 英语'],['12310'],[' 美国']
['信笺故事 The Tale'],['8.2'],['珍妮芬·福克斯'],"['约翰·赫德', '伊丽莎白·德比茨基', '劳拉·邓恩', '科曼', '艾伦·伯斯汀', '弗兰西丝·康罗伊', '杰森·雷特', '劳拉·爱伦', '伊莎贝尔·内利瑟', '伊莎贝拉·阿玛拉', '切尔西·阿尔登', '马修·劳奇', '贾克琳·弗莱明', '蒂娜·帕克', '乔迪·朗', '诺亚·罗麦克斯', '艾米莉·桑迪弗', '斯科特·武田', '索姆·毕绍普斯']","['01', '05']",['剧情'],['114'],[' 英语'],['22385'],[' 美国']
['一百样东西 100 Dinge'],['7.3'],['弗洛里安·大卫·菲茨'],"['弗洛里安·大卫·菲茨', '马提亚斯·施维赫夫', '米里亚姆·斯坦因', '汉内洛勒·埃尔斯纳', '卡特琳娜·塔巴赫', '约翰尼斯·艾麦亚', '马克西米利安·梅耶-布雷泽内德', '玛利亚·佛万格勒', '沃尔夫冈·斯塔姆普', 'Sarah Victoria Frick', 'Artjom Gilz', '丹尼尔·弗利格', 'Milo Eisenblätter', 'Nora Boeckler']",['12'],['喜剧'],['111'],[' 德语 / 英语 / 芬兰语'],['7015'],[' 德国']
['奇葩朵朵'],['4.4'],"['李欣', '李洋']","['张若昀', '马思纯', '李现', '刘敏涛', '姜超', '李霄云', '陈芋米', '安笑歌', '吴宥萱']",['04'],"['喜剧', '爱情']",['98'],[' 汉语普通话'],['14140'],[' 中国大陆']
